127.0.0.1 - - [26/Feb/2026:11:35:21 +0000] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/jblcharge5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/macbookairm3.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/iphone15pro.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxys24.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/sonywh1000xm5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/xiaomi14.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:40 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxytabs9.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:55 +0000] "GET /ecommerce-electronique/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:55 +0000] "GET /ecommerce-electronique/catalogue HTTP/1.1" 200 73068
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:56 +0000] "GET /ecommerce-electronique/resources/images/produits//images/rogzephyrus.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:56 +0000] "GET /ecommerce-electronique/resources/images/produits//images/airpodspro2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:56 +0000] "GET /ecommerce-electronique/resources/images/produits//images/cableusbc.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:53:56 +0000] "GET /ecommerce-electronique/resources/images/produits//images/chargeurgan.jpg HTTP/1.1" 404 -
